"","A2","A3","A5","A7","A8","B3","Age","B7","B9","B11","B12","C2","C12","E2_9group","E4_21group","E6","E7","E8_a","E8_b","E8_c","E8_d","E8_e","E8_f","E8_g","E8_h","E8_i","E9","E10","E13","E13_1","E14_1","E14_2","E14_Result","E15","E16","E17","E22","E23","E24","G1_1","G1_2","J8","J9","J10_1","J10_2","J11_1","J11_2","J12_14group","J13","J14","J15","J15_Year","J16","J17_10group","J18","J19","J20","J21","J22","Weights_1","WeightsCalib_1","Weights_Year","WeightsCalib_Year","resident","nonresident","LR_WAP","LF","PNLF","empj","underemployed","iempj","emsj","iemsj","LU1_unemployed","LU2_combined","LU3_potential","LU4_composite","long_term_unemployed"
"11",4,7,1,5,4,2,67,7,2,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,2,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,64.3122828370075,56.5551645977539,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9,9,1,2,2,1,73,8,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,2,NA,NA,2,6,NA,NA,NA,2,NA,NA,NA,87.20578923564,45.7154633476139,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",6,9,2,3,2,2,47,5,2,2,3,1,1,9,16,1,1,1,1,1,1,2,1,1,2,3,NA,1,NA,NA,40000,0,1,NA,4,1,1,7,2,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7727272727273,7.37414854960662,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,6,1,3,3,1,36,4,2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,2,NA,NA,1,NA,1,1,3,2,NA,NA,NA,93.2781369295402,65.5209909054761,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"15",9,7,2,3,3,1,56,5,2,2,5,1,1,9,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,NA,NA,NA,4,4,1,3,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.860057265569,420.1818600743,64.8736016458789,83.21074865024,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"16",1,6,2,11,5,1,25,5,2,2,5,1,1,9,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.559585492228,123.575192877604,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",11,2,2,4,4,2,38,5,2,2,5,1,1,9,16,1,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,35000,0,1,NA,4,1,1,7,1,40,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1275519106613,70.7718521603965,1,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"18",10,7,2,1,1,2,69,5,2,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,2,NA,NA,2,4,NA,NA,NA,2,NA,NA,NA,72.0817796065321,50.9033767701621,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",3,8,1,7,3,1,0,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.13936584852,67.6593613502682,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",6,7,2,8,6,2,20,5,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,12,NA,2,NA,NA,2,10,NA,NA,NA,2,NA,NA,NA,67.2763276327633,61.5741807945897,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",4,7,2,3,2,2,87,4,2,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.4776906262055,43.4771469739389,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",7,2,1,2,2,1,42,10,2,1,5,1,1,5,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7527272727273,5.19999999999527,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2,1,1,4,4,1,20,5,1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,2,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,263.303628409438,26.2999999999985,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",3,4,2,1,1,2,64,5,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,2,NA,NA,2,4,NA,NA,NA,2,NA,525.392405063291,465.269571474796,133.245585874799,129.484418912177,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",4,6,1,7,4,2,3,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.909551305415,103.908607190961,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",4,1,1,5,4,2,57,7,2,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,2,NA,NA,2,6,NA,NA,NA,2,NA,NA,NA,175.535752272958,448.28764648853,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",6,11,1,6,5,2,21,5,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,2,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,45.9433671899046,4.60000000001673,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",3,7,1,5,3,2,35,5,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,5,9,NA,NA,NA,6,NA,1,NA,1,1,2,1,9,308.887738853503,435.387649229488,83.7752105376808,131.127107659835,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1
"29",10,5,1,6,4,1,13,3,1,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7844206657379,35.7506998160407,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",6,8,1,4,4,2,57,6,2,2,5,1,1,9,16,2,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,54000,0,1,NA,4,1,1,5,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.260929105657,165.603266014969,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",7,6,2,4,2,2,12,3,1,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5181347150259,163.19642917595,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",7,10,2,1,0,2,80,3,2,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3640270903881,15.5360341653432,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",7,2,2,3,3,1,25,5,2,1,5,1,1,5,15,1,1,1,1,1,1,2,3,2,2,3,NA,1,NA,NA,NA,NA,4,9,NA,1,1,6,1,42,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.0334583842261,5.19999999999527,1,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
"34",9,3,2,4,4,1,51,5,2,2,5,1,1,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,0,0,6,NA,NA,1,4,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7574141952682,64.0368407366059,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"35",10,3,2,3,3,2,54,6,2,3,5,1,1,9,1,1,2,2,2,2,2,2,2,2,2,2,NA,3,1,5,1e+05,0,1,NA,4,2,1,7,1,48,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5714761746085,78.6558261292776,1,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA
"36",7,6,1,4,2,1,6,2,1,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.484260200656,129.948632413216,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",11,7,1,3,3,1,65,4,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,2,NA,NA,2,6,NA,NA,NA,2,NA,NA,NA,76.1592823069826,72.5693972590161,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",3,1,1,5,4,2,2,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.551059480757,203.267515683925,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",9,9,2,2,1,1,79,6,2,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7727272727273,28.1103529908069,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",4,8,1,5,4,2,13,3,1,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.35331296745,183.414605206292,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",8,2,2,4,3,1,19,5,2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,12,NA,2,NA,NA,2,10,NA,NA,NA,2,NA,NA,NA,54.3460565346362,35.2643990936404,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",4,1,1,5,5,2,30,7,2,1,5,1,1,4,7,2,1,2,1,1,2,2,2,1,2,2,NA,3,6,NA,NA,NA,NA,3,4,2,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.64290272755,250.872479519542,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2,1,1,5,3,1,3,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.853251617297,610.870849466426,125.38268019497,174.629150974994,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2,6,1,3,2,1,70,7,2,2,5,1,1,8,8,2,1,1,1,1,1,2,2,1,2,2,NA,3,3,NA,80000,0,1,NA,4,1,1,7,1,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.626023902243,117.435274658406,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1,11,1,4,2,1,12,3,1,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5016928285626,35.1340843543258,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",5,1,1,9,7,1,11,3,1,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.196477954846,376.619380762446,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",11,3,1,4,2,2,78,5,2,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4322934521769,95.4283039111488,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",4,8,1,4,2,2,6,2,1,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.189613399347,112.847054044934,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",7,7,1,4,2,2,9,2,1,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.933707622544,30.9557674674215,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",4,1,1,5,5,1,55,7,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,NA,4,NA,NA,NA,NA,1,NA,1,NA,1,1,2,1,1,NA,NA,210.64290272755,250.872479519542,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA
"51",2,8,1,4,2,2,77,5,2,3,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.849257347519,137.465448695893,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",5,6,2,6,3,2,24,7,1,1,5,1,1,5,7,1,1,2,1,2,2,2,2,1,2,2,NA,3,1,3,35000,0,1,NA,4,2,1,2,2,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7253886010363,61.616307524775,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1,6,1,1,1,2,59,6,2,3,5,1,1,5,7,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,4,9,NA,2,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.200732797483,111.288974488875,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",7,6,2,6,5,2,69,5,2,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,2,NA,NA,2,6,NA,NA,NA,2,NA,NA,NA,87.5440414507772,8.80000000003201,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",7,7,2,1,1,2,65,10,2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,NA,2,NA,NA,2,6,NA,NA,NA,2,NA,NA,NA,80.4913205606275,75.546433704003,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",4,10,1,6,3,2,27,8,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,4,2,NA,NA,2,3,NA,NA,NA,2,NA,65.0935550935551,61.650545178624,16.2988027069235,15.4244160280068,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",10,8,2,6,4,2,0,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.294494238156,657.809128044395,92.8712064634395,190.386881332894,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",3,6,1,3,3,1,24,5,2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,3,1,5,NA,NA,NA,1,NA,1,NA,1,1,1,2,NA,NA,NA,85.5049588520785,22.1423842833547,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA
"59",5,7,1,7,5,2,56,5,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,6,NA,NA,NA,NA,6,NA,1,NA,1,1,3,2,NA,418.090474811812,459.310278938745,113.392709212619,148.349695068654,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1
