,X,A2,A3,A5,A7,A8,B3,Age,B7,B9,B11,B12,C2,C12,E2_9group,E4_21group,E6,E7,E9,E10,E13,E13_1,E14_1,E14_2,E14_Result,E16,E17,E22,E23,E24,G1_1,G1_2,Weights_1,WeightsCalib_1,Weights_Year,WeightsCalib_Year,resident,nonresident,LR_WAP,LF,PNLF,empj,underemployed,iempj,emsj,iemsj,LU1_unemployed,LU2_combined,LU3_potential,LU4_composite,long_term_unemployed
165,165,11,3,2,2,2,2,66,7,2,2,5,1,1,7,19,1,4,3,3,1,1,15000,0,1,4,1,1,7,2,5,0,371.112565445026,372.084407985935,94.4785071642786,104.781643892324,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
173,173,7,3,2,10,6,2,51,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,6000,2,4,1,1,7,1,50,0,285.471204188482,611.016794488059,72.6757747417527,151.509616413861,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
175,175,8,3,2,3,3,1,27,4,2,1,5,1,1,8,6,2,4,3,3,1,1,70000,0,1,4,1,1,2,1,60,0,285.471204188482,611.016794488059,72.6757747417527,151.509616413861,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
177,177,9,3,2,2,2,2,48,5,2,2,5,1,1,6,1,1,4,3,3,1,2,20000,5000,5,4,1,1,7,1,46,0,285.471204188482,611.016794488059,72.6757747417527,151.509616413861,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
178,178,10,3,2,4,4,2,56,5,2,3,5,1,1,6,1,1,4,3,3,1,1,0,40000,2,4,1,1,7,1,56,0,285.471204188482,611.016794488059,72.6757747417527,151.509616413861,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
189,189,2,4,2,9,6,1,45,4,2,2,5,1,1,6,1,1,4,3,3,1,2,5E+05,0,1,5,1,1,7,1,35,0,525.392405063291,465.269571474796,133.245585874799,129.484418912177,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
190,190,2,4,2,9,6,2,46,4,2,2,5,1,1,6,1,1,4,3,3,1,2,5E+05,0,1,5,1,1,7,1,35,0,525.392405063291,465.269571474796,133.245585874799,129.484418912177,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
193,193,4,4,2,6,4,2,70,7,2,2,5,1,1,6,1,1,4,3,3,1,2,4E+05,0,1,5,1,1,7,2,30,0,525.392405063291,465.269571474796,133.245585874799,129.484418912177,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
195,195,5,4,2,5,4,2,54,7,2,2,5,1,1,6,1,1,4,3,3,1,2,108000,0,1,4,1,1,7,1,36,0,525.392405063291,465.269571474796,133.245585874799,129.484418912177,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
202,202,11,4,2,6,5,1,60,4,2,2,5,1,1,6,1,1,4,3,3,1,4,450000,10000,5,5,1,1,7,1,42,0,525.392405063291,465.269571474796,133.245585874799,129.484418912177,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
204,204,11,4,2,6,5,1,41,4,2,2,5,1,1,6,1,1,4,3,3,1,4,3E+05,10000,5,5,1,1,7,1,42,0,525.392405063291,465.269571474796,133.245585874799,129.484418912177,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
214,214,5,4,2,1,1,2,50,5,2,1,5,1,1,6,1,1,4,3,3,1,1,50000,0,1,5,1,1,7,2,30,0,585.096087456847,701.348369307406,148.387129724208,168.885681559988,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
215,215,6,4,2,5,4,1,50,7,2,2,5,1,1,6,1,1,4,3,3,1,4,50000,0,1,4,1,1,7,1,42,0,585.096087456847,701.348369307406,148.387129724208,168.885681559988,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
229,229,3,5,1,5,5,1,60,6,2,2,5,1,1,6,1,2,4,3,3,1,3,0,6000,2,4,2,1,7,2,20,0,181.953970080552,438.671641360336,46.8678305717758,105.301647488425,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
230,230,3,5,1,5,5,2,61,4,2,2,5,1,1,6,1,2,4,3,3,1,3,0,6000,2,4,1,1,7,2,15,0,181.953970080552,438.671641360336,46.8678305717758,105.301647488425,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
231,231,3,5,1,5,5,1,31,5,2,2,5,1,1,6,1,2,4,3,3,1,3,0,6000,2,4,1,1,7,2,20,0,181.953970080552,438.671641360336,46.8678305717758,105.301647488425,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
232,232,4,5,1,5,5,1,45,7,2,2,3,1,1,5,7,2,4,1,3,1,1,80000,0,1,4,2,1,7,1,70,0,181.953970080552,438.671641360336,46.8678305717758,105.301647488425,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,235,7,5,1,5,3,2,57,5,2,3,3,1,1,6,1,2,4,3,3,1,2,9000,0,1,4,1,1,7,2,20,0,181.953970080552,438.671641360336,46.8678305717758,105.301647488425,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
236,236,7,5,1,5,3,1,38,10,2,2,5,1,1,6,1,2,4,3,3,1,2,9000,0,1,4,2,1,7,2,30,0,181.953970080552,438.671641360336,46.8678305717758,105.301647488425,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
239,239,11,5,1,2,2,1,62,10,2,2,2,1,1,6,1,2,4,3,3,1,2,10000,0,1,4,2,1,7,1,45,0,181.953970080552,438.671641360336,46.8678305717758,105.301647488425,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
240,240,11,5,1,2,2,2,59,7,2,2,5,1,1,6,1,2,4,3,3,1,2,10000,0,1,4,2,1,7,1,40,0,181.953970080552,438.671641360336,46.8678305717758,105.301647488425,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
241,241,1,5,1,5,4,2,60,4,2,2,5,1,1,6,1,2,4,4,3,1,1,0,6000,2,4,1,1,7,2,20,0,150.830264672037,195.507146966529,38.8509648160773,47.9035641123037,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
242,242,1,5,1,5,4,2,45,5,2,2,5,1,1,6,1,2,4,3,3,1,1,0,6000,2,4,1,1,7,2,15,0,150.830264672037,195.507146966529,38.8509648160773,47.9035641123037,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
243,243,3,5,1,7,5,1,58,5,2,2,5,1,1,5,7,2,4,1,3,1,1,2E+05,0,1,4,1,1,7,1,56,0,150.830264672037,195.507146966529,38.8509648160773,47.9035641123037,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
